Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.631591724	65672.5625	2.105738878	100875.9766	0.082877905	60525.58594	100875.9766	60525.58594	55525.58594	1595.1	34.81009713	60525.58594
0.631649608	67104.09375	2.403745174	100754.3828	0.084483781	60452.62969	100754.3828	60452.62969	55452.62969	1595.1	34.76435941	60452.62969
0.63170741	68145.90625	2.755807877	100638.7734	0.085551831	60383.26406	100638.7734	60383.26406	55383.26406	1595.1	34.72087271	60383.26406
0.631765285	68780.9375	3.086578608	100488.7266	0.086543297	60293.23594	100488.7266	60293.23594	55293.23594	1595.1	34.66443228	60293.23594
0.631823227	69291.78906	3.341396332	100357.1563	0.087313206	60214.29375	100357.1563	60214.29375	55214.29375	1595.1	34.61494185	60214.29375
0.631881078	69615.94531	3.585874558	100221.4844	0.087931203	60132.89063	100221.4844	60132.89063	55132.89063	1595.1	34.56390861	60132.89063
0.631938859	69773.3125	3.816654444	100097.4219	0.088166486	60058.45313	100097.4219	60058.45313	55058.45313	1595.1	34.51724226	60058.45313
0.631996846	69839.28125	4.039530754	99920.60938	0.088418375	59952.36563	99920.60938	59952.36563	54952.36563	1595.1	34.45073389	59952.36563
0.632054711	69951.30469	4.290081024	99738.72656	0.089008585	59843.23594	99738.72656	59843.23594	54843.23594	1595.1	34.38231831	59843.23594
0.63211249	70008.53125	4.5135355	99522.52344	0.089368254	59713.51406	99522.52344	59713.51406	54713.51406	1595.1	34.30099308	59713.51406
0.632170452	69962.96875	4.74170208	99315.23438	0.089614468	59589.14063	99315.23438	59589.14063	54589.14063	1595.1	34.22302089	59589.14063
0.632228272	69919.04688	4.954281807	99125.83594	0.08980772	59475.50156	99125.83594	59475.50156	54475.50156	1595.1	34.1517783	59475.50156
0.632286165	69861.16406	5.159370899	98947.36719	0.090039479	59368.42031	98947.36719	59368.42031	54368.42031	1595.1	34.08464693	59368.42031
0.632344015	69774.21094	5.348695278	98770.88281	0.090156789	59262.52969	98770.88281	59262.52969	54262.52969	1595.1	34.01826198	59262.52969