Congener #,Vapor Pressure at 25C (Pa),deltahvap (kg/mol),Molecular Weight,logVP,,,,,,,,,
1,0.163,63.7,249.107,-0.787812396,,,,,,,,,
7,0.0168,75.4,328.003,-1.774690718,,,,,,,,,
10,0.0277,73.1,328.003,-1.557520231,,,,,,,,,
13,0.0113,77,328.003,-1.946921557,,,,,,,,,
30,0.00456,85.1,406.899,-2.341035157,,,,,,,,,
33,0.00178,81,406.899,-2.749579998,,,,,,,,-0.000316994,230.4455562
37,0.00102,86.7,406.899,-2.991399828,,,,,,,,,142610
47,0.000319,92,485.8,-3.496209317,,,,,,,,,
66,0.000238,93.5,485.8,-3.623423043,,,,,,,,,
77,0.000156,95.3,485.8,-3.806875402,,,,,,,,,
82,0.0000647,99.1,564.69,-4.189095719,,,,,,,,,
99,0.0000682,100.3,564.69,-4.166215625,,,,,,,,,
115,0.0000302,101.8,564.69,-4.519993057,,,,,,,,,
153,0.00000843,107.6,643.59,-5.074172425,,,,,,,,,
190,0.000000905,115.8,722.483,-6.043351421,,,,,,,,,
209,n/a,n/a,,#VALUE!,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,-8.60206,,,,,
,,,,,,,,2.5E-09,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,142.61056,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
MW,Water Solubility,Log KoA,log Kow,logWS,,,,,,,,,
328,6.57E-07,8.64,5.86,6.18243463,,,,,,,,,
485.8,3.04E-08,9.8,6.78,7.517126416,,,,,,,,,
564.69,7.74E-09,11.2,7.39,8.111259039,,,,,,,,,
643.59,7.82E-11,12.15,8.05,10.10679325,,,,,,,,,
959.2,,13.1,9.9,#NUM!,,,,,,,,,